iter	Passed	Remaining
622	18615	11265
623	18642	11233
624	18670	11202
625	18699	11171
626	18726	11140
627	18756	11110
628	18785	11080
629	18816	11050
630	18844	11019
631	18873	10989
632	18901	10958
633	18930	10928
634	18958	10897
635	18986	10866
636	19015	10835
637	19044	10805
638	19072	10774
639	19100	10744
640	19128	10713
641	19156	10682
642	19184	10651
643	19212	10620
644	19240	10589
645	19268	10558
646	19296	10528
647	19325	10497
648	19352	10466
649	19382	10436
650	19411	10406
651	19438	10375
652	19466	10344
653	19498	10315
654	19526	10284
655	19555	10254
656	19584	10224
657	19611	10193
658	19639	10162
659	19667	10131
660	19694	10100
661	19724	10070
662	19752	10040
663	19779	10008
664	19808	9978
665	19837	9948
666	19866	9918
667	19894	9887
668	19924	9858
669	19951	9827
670	19981	9796
671	20010	9767
672	20042	9738
673	20071	9708
674	20099	9677
675	20128	9647
676	20157	9617
677	20184	9586
678	20214	9556
679	20244	9526
680	20273	9496
681	20303	9467
682	20331	9436
683	20359	9405
684	20389	9376
685	20415	9344
686	20447	9315
687	20478	9286
688	20508	9256
689	20537	9226
690	20563	9195
691	20592	9165
692	20620	9135
693	20649	9104
694	20678	9074
695	20705	9043
696	20733	9013
697	20762	8983
698	20791	8953
699	20819	8922
700	20848	8892
701	20875	8861
702	20902	8830
703	20933	8801
704	20962	8771
705	20990	8741
706	21018	8710
707	21047	8680
708	21074	8649
709	21103	8619
710	21130	8589
711	21159	8558
712	21186	8528
713	21217	8498
714	21245	8468
715	21276	8439
716	21303	8408
717	21331	8378
718	21358	8347
719	21387	8317
720	21416	8287
721	21443	8256
722	21473	8227
723	21502	8197
724	21530	8166
725	21557	8135
726	21584	8105
727	21613	8075
728	21640	8044
729	21668	8014
730	21698	7984
731	21725	7954
732	21754	7924
733	21781	7893
734	21810	7863
735	21838	7833
736	21866	7803
737	21898	7774
738	21928	7744
739	21959	7715
740	21987	7685
741	22014	7654
742	22043	7624
743	22073	7595
744	22103	7565
745	22131	7535
746	22159	7505
747	22187	7475
748	22217	7445
749	22246	7415
750	22276	7385
751	22303	7355
752	22331	7325
753	22358	7294
754	22386	7264
755	22414	7234
756	22445	7205
757	22474	7175
758	22501	7144
759	22529	7114
760	22558	7084
761	22585	7054
762	22615	7024
763	22643	6994
764	22671	6964
765	22699	6934
766	22728	6904
767	22756	6874
768	22785	6844
769	22813	6814
770	22841	6784
771	22868	6754
772	22898	6724
773	22927	6694
774	22956	6664
775	22983	6634
776	23009	6603
777	23037	6573
778	23066	6543
779	23095	6514
780	23123	6483
781	23154	6454
782	23182	6424
783	23211	6395
784	23241	6365
785	23271	6335
786	23300	6306
787	23329	6276
788	23357	6246
789	23386	6216
790	23414	6186
791	23442	6156
792	23473	6127
793	23501	6097
794	23528	6067
795	23555	6036
796	23585	6007
797	23615	5977
798	23643	5947
799	23672	5918
800	23700	5888
801	23728	5858
802	23756	5828
803	23785	5798
804	23813	5768
805	23841	5738
806	23871	5708
807	23899	5679
808	23929	5649
809	23957	5619
810	23985	5589
811	24014	5559
812	24042	5530
813	24071	5500
814	24099	5470
815	24130	5441
816	24160	5411
817	24188	5381
818	24216	5351
819	24246	5322
820	24273	5292
821	24301	5262
822	24328	5232
823	24356	5202
824	24383	5172
825	24411	5142
826	24439	5112
827	24467	5082
828	24496	5053
829	24525	5023
830	24552	4993
831	24582	4963
832	24611	4934
